job_title_short,job_posted_month,count
Data Analyst,1,8494
Data Analyst,2,6124
Data Analyst,3,6218
Data Analyst,4,6049
Data Analyst,5,4993
Data Analyst,6,5683
Data Analyst,7,5201
Data Analyst,8,6634
Data Analyst,9,4639
Data Analyst,10,5271
Data Analyst,11,4531
Data Analyst,12,3979
Data Engineer,1,2655
Data Engineer,2,3060
Data Engineer,3,3183
Data Engineer,4,2801
Data Engineer,5,2976
Data Engineer,6,2893
Data Engineer,7,2570
Data Engineer,8,3269
Data Engineer,9,3224
Data Engineer,10,3015
Data Engineer,11,2793
Data Engineer,12,2641
Data Scientist,1,6915
Data Scientist,2,4956
Data Scientist,3,4779
Data Scientist,4,4867
Data Scientist,5,4377
Data Scientist,6,4645
Data Scientist,7,4876
Data Scientist,8,6318
Data Scientist,9,4568
Data Scientist,10,4882
Data Scientist,11,4175
Data Scientist,12,3472
